Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237530,241869,233390,224753,225623,224217,226106,232095,238906,246980,255846,265213,275096,285485,296426,306675,315199,322998,330722,338169,337478,340377,331207,341708,333159,341579,346258,351309,356713,384922,400199,414321,384122,401413
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2936211,3018311,3085817,3169133,3257636,3347227,3436412,3529691,3599373,3669870,3741182,3814211,3888572,3965089,4045470,4128982,4215393,4303228,4391153,4479358,4567789,4656827,4745827,4834468,4923514,5012373,5100033,5298716,5649910,5946418,5939447,6426918,6569575,6702504
"Labor force, total",SL.TLF.TOTL.IN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1835828,1841201,1722817,1547738,1451447,1446375,1533245,1613443,1658997,1692881,1723408,1748958,1767704,1775586,1767966,1755779,1750056,1735948,1712952,1681868,1651355,1620096,1586613,1560902,1538400,1516931,1493951,1470994,1447773,1422553,1390332,1370363,1355798,1366194
"Labor force, total",SL.TLF.TOTL.IN,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,450390,464119,479858,497258,514808,531790,548430,564272,581158,593811,605662,627315,647894,667858,688033,708319,728696,758634,789289,820523,802345,828613,849151,865462,882070,899557,918682,939892,962977,987878,980428,1036012,1065472,1146757
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62231527,63803243,65654226,67538482,69427335,71346700,71163065,73815138,75725311,78290799,80295093,82303564,85201661,86794128,89058034,91599988,92726865,93712199,95054971,96857149,96467543,95987652,96690220,97945820,98901551,100587656,101885554,103476109,104554923,106262669,100001874,104085430,106610573,106356432
"Labor force, total",SL.TLF.TOTL.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111169,114327,118249,122467,126837,131354,135999,140730,145533,150477,155602,160781,165377,169865,174224,178441,182482,185717,188400,191439,194946,198704,202252,205548,208774,211934,215000,218025,225919,223877,224617,227037,230003,231915
"Labor force, total",SL.TLF.TOTL.IN,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3719434,3697006,3675711,3627691,3602723,3575753,3545894,3521893,3487986,3468612,3441466,3494894,3404016,3340007,3379275,3314525,3421452,3500732,3562863,3489069,3424396,3339707,3358087,3382916,3360300,3349965,3266917,3364856,3330233,3377136,3306399,3252125,3217289,3131695
"Labor force, total",SL.TLF.TOTL.IN,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4076580,4170246,4231560,4300025,4375696,4456418,4537038,4620062,4719132,4833630,4953691,5079216,5208335,5337468,5465720,5591307,5708826,5817468,5913296,6005410,6098364,6195296,6300018,6404890,6510477,6487050,6458883,6422574,6372960,6310717,6192649,6176046,6091676,6287117
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2581935,2607838,2664991,2457056,2445092,2681962,2631487,2586586,2636111,2711621,2766896,2838292,2918476,3009287,3123186,3227287,3316162,3458975,3627058,3843653,4037123,4169441,4302379,4439368,4568956,4652272,4699696,4800813,4962798,5149165,5256748,5487609,5695461,5901964
