Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.1609884944965,16.6839842482767,15.8499816709937,15.7452808352608,15.4966970099551,14.6146505236253,15.2762162099735,15.1409193295262,14.6852558123385,14.2180924042418,14.6597302268098,14.8326295074162,14.3477584958517,14.6135454571465,14.4645467870754,14.2270268580568,15.2091105707492,15.4813850957402,15.9407522377829,15.6509696324543,16.4984767128813,16.6797609918443,17.053964258193,16.8235400167738,17.2354537474324,16.780674228348,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.82797523242179,4.29058873181114,4.5682608452997,4.34430720907691,4.3895109591836,4.33808136362189,4.26714628976188,4.71477793346438,4.99927796910109,4.91593444922923,5.50393180159511,5.17477965524007,4.90327173003816,4.91241256526213,4.96667663459424,5.33857648436768,5.72968292417547,5.98290026859094,6.85108699770809,7.19914620786724,7.54821104480454,7.55931201145972,6.5041342605064,6.48192082025082,6.24957516823213,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.07534958762764,6.41600165489434,6.42117323773608,6.68867220610541,7.37019347969495,7.22950277420289,7.33432385076776,7.42005772288252,7.9497942071811,8.96292620972635,9.19298314364496,9.51660934374859,9.71171503932011,9.58950962766351,10.8201882555831,11.3522373588218,11.8507103367588,12.7646557136682,14.0042654207516,15.0286812288428,14.3802558700124,14.7012905814039,15.3536920705199,16.8648878375347,17.6727976569944,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.03992444151828,4.82986460280628,4.51955352030728,4.37211123892834,4.37082727520801,4.32343151562975,4.20445688442988,4.46231524940343,4.32656745186185,4.44442112428745,4.8077496670795,4.99856629543971,5.25786078851041,5.44743203186219,5.82095610216902,6.1525133030061,6.46876039609006,6.99859618156127,7.19275743897849,7.05671693108665,6.93082485685826,6.89364982885706,6.99608251857353,7.2273772006782,7.46428061023509,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.6033714480164,..,..,..,..,..,..,..,..,..,..,..,..,..,18.519627229764,19.402706095358,19.8163964592258,19.5693782624037,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3599896135836,..,..,..,..,..,..,..,..,..,..,..,..,..,17.4411847249661,16.4326613620547,17.4830172916018,18.1196564450964,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.02538933389,10.2500661856484,9.40892106057797,9.09788588762757,8.72880845874074,8.70651826130493,8.4024363937884,9.04423578172613,8.72471152131946,8.51572847467419,8.52869063287336,8.33721424246744,7.47589257786123,8.03588905784108,8.20274880915337,8.49566407097559,7.92094577035622,7.83515918902654,7.46148939879297,6.93436250151227,6.54377053343434,7.56356422557802,7.0881954823966,7.57674573848121,7.07994987769639,..,..,..,..,..,..,..,..,..
